Film,Director,Description,Date CreateStar
Thành Phố Ngủ Gật,Lương Đình Dũng,"Long - một người làm nghề tự do với sở thích tắm mưa, sống trong một khu nhà cũ gần như bỏ hoang với nhiều mảng tranh vẽ dở. Cuộc sống của Long cứ thế lặp đi lặp lại cho đến khi có một nhóm đàn ông cùng người phụ nữ lạ xuất hiện trong khu ngõ. Mọi thứ bỗng bị xáo trộn và trở nên phức tạp vì những nhân vật mới đến…",,No Actor
3D Cung Tâm Kế,,Chưa có thông tin,Khởi chiếu: 05/02/2019 tại Việt Nam,No Actor
Táo Quậy,Toàn Joshua,"Táo Quậy, vị thần cai quản bếp nhà Minh, một cậu thiếu gia ham chơi. Một tai nạn bất ngờ xảy ra làm cho cả hai dính vào nhau bằng một sợi dây phép thuật.",Khởi chiếu: 05/02/2019 tại Việt Nam,"['Hứa Minh Đạt', 'POM', 'Nhi Katy', 'Katleen', 'Hoàng Phúc', 'Tiểu Bảo Quốc', 'Nguyễn Chánh Tín', 'Phương Dung', 'Trung Dân', 'bé Tin Tin', 'Vân Trang', 'Lê Bình', 'Huỳnh Đông', 'Ái Châu', 'Bạch Long']"
Vu Quy Đại Náo,Lê Thiện Viễn,Đám cưới truyền thống với bối cảnh ở miền Tây Nam bộ.,Khởi chiếu: 05/02/2019 tại Việt Nam,"['Ngọc Trinh', 'Việt Hương', 'Chí Tài', 'Diệu Nhi', 'La Thành', 'Huỳnh Lập', 'Lâm Vinh Hải', 'Quang Đại', 'Thủy Tiên', 'Tài Smile']"
Cua Lại Vợ Bầu,Nhất Trung,"Cua lại vợ bầu kể về câu chuyện của Thành, hành nghề sửa xe máy trong một cửa hàng chuyên độ xe. Thành yêu Khánh, một nhà thiết kế thời trang và xem Khánh là cả cuộc đời mình. Cho đến một ngày, Khánh đột nhiên mang bầu và... đòi chia tay Thành với lý do đứa bé trong bụng không phải là con của anh mà là con người yêu cũ...",Khởi chiếu: 05/02/2019 tại Việt Nam,"['Trấn Thành', 'Khả Như', 'Mạc Văn Khoa', 'Lê Giang', 'Hữu Châu']"
Trạng Quỳnh,Đức Thịnh,"Trạng Quỳnh sẽ xoay quanh hành trình giải cứu thầy Đoàn, đồng thời là cha Điềm đầy gian truân nhưng cũng nhiều tiếng cười của những con người nhỏ bé trong xã hội phong kiến dù luôn bị chèn ép bởi tầng lớp quan lại bất công.",Khởi chiếu: 05/02/2019 tại Việt Nam,"['Quốc Anh', 'Tùng Yuki', 'Công Dương', 'Khả Như', 'Nabi Nhã Phương', 'Trấn Thành']"
Hai Phượng,Lê Văn Kiệt,"Người mẹ không bao giờ bỏ cuộc, cục tính, gai góc và quật cường.",Khởi chiếu: 22/02/2019 tại Việt Nam,"['Ngô Thanh Vân', 'Phan Thanh Nhiên', 'Mai Cát Vy', 'Thạch Kim Long']"
Lật Mặt 4,Lý Hải,Chưa có thông tin,,No Actor
90 Ngày Hạ,Huỳnh Tuấn Anh,"Lấy cảm hứng từ hình tượng của nhưng giai nhân tài sắc một thời của Sài Gòn ngày cũ : như Thẫm Thuý Hằng, Thanh Nga, Kim Cương . . .  Với những biến cố nghiệt ngã, những đoạn tình nồng nàn của người xưa bộ phim khai thác sâu sắc thân phận con người và đời sống của Sài Gòn 1970",,No Actor
Vũ Khúc Thanh Xuân,,Đây là dự án Remake từ phim điện ảnh đình đám và vô cùng ăn khách của đạo diễn Hà Cảnh : “Forever Young- Cây Dành Dành Nở Hoa”,,No Actor
