Film,Director,Description,Date Create,Star,Poster
Thành Phố Ngủ Gật,Lương Đình Dũng,"Long - một người làm nghề tự do với sở thích tắm mưa, sống trong một khu nhà cũ gần như bỏ hoang với nhiều mảng tranh vẽ dở. Cuộc sống của Long cứ thế lặp đi lặp lại cho đến khi có một nhóm đàn ông cùng người phụ nữ lạ xuất hiện trong khu ngõ. Mọi thứ bỗng bị xáo trộn và trở nên phức tạp vì những nhân vật mới đến…",2/2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
3D Cung Tâm Kế,,Chưa có thông tin,05/02/2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Táo Quậy,Toàn Joshua,"Táo Quậy, vị thần cai quản bếp nhà Minh, một cậu thiếu gia ham chơi. Một tai nạn bất ngờ xảy ra làm cho cả hai dính vào nhau bằng một sợi dây phép thuật.",05/02/2019,"['Hứa Minh Đạt', 'POM', 'Nhi Katy', 'Katleen', 'Hoàng Phúc', 'Tiểu Bảo Quốc', 'Nguyễn Chánh Tín', 'Phương Dung', 'Trung Dân', 'bé Tin Tin', 'Vân Trang', 'Lê Bình', 'Huỳnh Đông', 'Ái Châu', 'Bạch Long']",https://i.moveek.com/media/cache/poster_fixed/media/6184b0e9044c7c4fdf1a6b22f476d8441d2e606a.JPG 
Vu Quy Đại Náo,Lê Thiện Viễn,Đám cưới truyền thống với bối cảnh ở miền Tây Nam bộ.,05/02/2019,"['Ngọc Trinh', 'Việt Hương', 'Chí Tài', 'Diệu Nhi', 'La Thành', 'Huỳnh Lập', 'Lâm Vinh Hải', 'Quang Đại', 'Thủy Tiên', 'Tài Smile']",https://i.moveek.com/media/cache/poster_fixed/media/3b8bcb3b2f7539a32c67ce770f56ccacdce796ef.jpg 
Cua Lại Vợ Bầu,Nhất Trung,"Cua lại vợ bầu kể về câu chuyện của Thành, hành nghề sửa xe máy trong một cửa hàng chuyên độ xe. Thành yêu Khánh, một nhà thiết kế thời trang và xem Khánh là cả cuộc đời mình. Cho đến một ngày, Khánh đột nhiên mang bầu và... đòi chia tay Thành với lý do đứa bé trong bụng không phải là con của anh mà là con người yêu cũ...",05/02/2019,"['Trấn Thành', 'Khả Như', 'Mạc Văn Khoa', 'Lê Giang', 'Hữu Châu']",https://i.moveek.com/media/cache/poster_fixed/media/83de3529fd6132f22353297800344b3dae9592ec.jpg 
Trạng Quỳnh,Đức Thịnh,"Trạng Quỳnh sẽ xoay quanh hành trình giải cứu thầy Đoàn, đồng thời là cha Điềm đầy gian truân nhưng cũng nhiều tiếng cười của những con người nhỏ bé trong xã hội phong kiến dù luôn bị chèn ép bởi tầng lớp quan lại bất công.",05/02/2019,"['Quốc Anh', 'Tùng Yuki', 'Công Dương', 'Khả Như', 'Nabi Nhã Phương', 'Trấn Thành']",https://i.moveek.com/media/cache/poster_fixed/media/5bd54e7f9a457566609201.jpg 
Hai Phượng,Lê Văn Kiệt,"Người mẹ không bao giờ bỏ cuộc, cục tính, gai góc và quật cường.",22/02/2019,"['Ngô Thanh Vân', 'Phan Thanh Nhiên', 'Mai Cát Vy', 'Thạch Kim Long']",https://i.moveek.com/media/resized/tall/5bcf1bdcb4c27053986403.jpg 
Lật Mặt 4,Lý Hải,Chưa có thông tin,4/2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
90 Ngày Hạ,Huỳnh Tuấn Anh,"Lấy cảm hứng từ hình tượng của nhưng giai nhân tài sắc một thời của Sài Gòn ngày cũ : như Thẫm Thuý Hằng, Thanh Nga, Kim Cương . . .  Với những biến cố nghiệt ngã, những đoạn tình nồng nàn của người xưa bộ phim khai thác sâu sắc thân phận con người và đời sống của Sài Gòn 1970",4/2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/d6487cdae6287fc59090c8bd7593682136d74ef0.jpg 
Vũ Khúc Thanh Xuân,,Đây là dự án Remake từ phim điện ảnh đình đám và vô cùng ăn khách của đạo diễn Hà Cảnh : “Forever Young- Cây Dành Dành Nở Hoa”,4/2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Chị Mười Ba,Khương Ngọc,"Dạo gần đây, phe Chợ Mới đang kháo nhau về sự xuất hiện của một tay giang hồ cộm cán bất hảo ở Chợ Cũ - Hắc Hổ. Thằng nào thằng nấy mặt mũi khả ố khó ưa cầm sẵn gậy gộc giáo mác chuẩn bị chiến đấu.",12/04/2019,"['Thu Trang', 'Tiến Luật', 'Khương Ngọc', 'Diệu Nhi', 'B Trần', 'La Thành', 'Lê Quốc Nam', 'Hứa Minh Đạt', 'Hoàng Mèo', 'Hoàng Phi', 'Quách Ngọc Tuyên', 'Thanh Tân']",https://i.moveek.com/media/cache/poster_fixed/media/3ce3c8bdc71153cda91dec55405bbf89663ee029.jpg 
Ngôi Nhà Bươm Bướm,Huỳnh Tuấn Anh,Chưa có thông tin,19/04/2019,"['NSUT Thành Lộc', 'Quang Minh', 'Hồng Đào', 'Vân Trang', 'Hoàng Yến Chibi', 'Liên Bỉnh Phát']",https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Thiên Thần Nhỏ Của Tôi,,"Thiên Thần Nhỏ Của Tôi là câu chuyện đượm buồn về cuộc gặp gỡ và chia tay của đôi bạn Kha – Hồng Hoa khi Kha cùng bố mẹ và anh trai chuyển đến ngôi nhà mới do bố Kha được cấp. Kha - nhân vật chính - là cậu bé mười tuổi, thích đọc sách, yêu thiên nhiên, có con sáo biết nói... Hồng Hoa là cô bé tám tuổi ngây thơ, duyên dáng...  Vốn có thời gian sống với bà ngoại ở quê từ nhỏ, Kha nhanh chóng yêu thích vườn cây phía sau nhà mới, biến nó thành “vương quốc bí mật” riêng cho đến ngày có “cô bé lạ mặt” chui vào khu vườn...",31/05/2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/28e0188c29e97b25c71a2d77bb2f74a6d5f9920e.jpg 
